Country Code,Country Name,Series Name,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
AFG,Afghanistan,"Adjusted net enrollment rate, primary, female (% of primary school age children)",NA,NA,NA,14.38842964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ALB,Albania,"Adjusted net enrollment rate, primary, female (% of primary school age children)",NA,NA,NA,NA,NA,NA,NA,NA,NA,95.90653992,95.17523956,94.16091156,NA,91.8248291,91.58020782,NA,NA,NA,86.95977783,85.24368286,86.04670715,87.03375244,90.0385437,93.92578888,95.92709351,94.85662079,95.06893158
DZA,Algeria,"Adjusted net enrollment rate, primary, female (% of primary school age children)",79.08175659,81.15881348,82.70169067,82.78002167,83.30549622,83.90553284,83.97016907,83.86197662,NA,87.78109741,88.88916016,91.08164978,92.5945816,93.26743317,94.07289124,94.37078094,94.53109741,94.90602112,96.40252686,NA,NA,NA,NA,NA,NA,NA,98.43451691
ASM,American Samoa,"Adjusted net enrollment rate, primary, female (% of primary school age children)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AND,Andorra,"Adjusted net enrollment rate, primary, female (% of primary school age children)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGO,Angola,"Adjusted net enrollment rate, primary, female (% of primary school age children)",NA,NA,NA,NA,NA,NA,NA,NA,41.30158997,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.38778687,68.31130219,67.7120285,66.38749695,NA,NA,NA,NA,NA
ATG,Antigua and Barbuda,"Adjusted net enrollment rate, primary, female (% of primary school age children)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.97660828,84.84899139,82.80619049,78.22200012,77.75144196,77.35623932,NA,76.66838837,81.16522217,NA
ARB,Arab World,"Adjusted net enrollment rate, primary, female (% of primary school age children)",66.13606262,67.11047363,63.64683151,64.30721283,67.2126236,65.92099762,68.77026367,69.19122314,70.07228851,71.5830307,73.0267334,74.83737183,76.31198883,77.32273865,78.16323853,79.08695221,79.42769623,81.05758667,82.1147995,82.39743042,83.63273621,83.02742004,83.98432159,82.89186859,82.46219635,82.84075928,82.92511749
ARG,Argentina,"Adjusted net enrollment rate, primary, female (% of primary school age children)",NA,96.33556366,NA,NA,NA,NA,NA,NA,NA,99.79026031,NA,NA,NA,99.3162384,98.59770966,98.88513947,99.14154816,99.36232758,99.16072083,99.13874054,98.37241364,98.48111725,98.51051331,98.83899689,99.47048187,99.56928253,NA
ARM,Armenia,"Adjusted net enrollment rate, primary, female (% of primary school age children)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.73029327,85.77810669,NA,89.69792175,93.35195923,98.39195251,NA,NA,NA,NA,NA,NA,NA,93.39685059,92.59264374
ABW,Aruba,"Adjusted net enrollment rate, primary, female (% of primary school age children)",NA,NA,NA,NA,NA,NA,NA,NA,NA,98.7243576,97.99226379,96.86701965,94.7212677,92.79219055,93.10494995,96.73628998,97.84124756,98.2563324,98.73493195,97.82105255,NA,NA,NA,NA,99.39630127,NA,NA
AUS,Australia,"Adjusted net enrollment rate, primary, female (% of primary school age children)",97.80957794,97.21765137,96.98586273,96.55165863,96.26909637,94.83876038,95.37763977,95.16066742,95.48052979,95.45269775,95.67675018,95.59146881,95.62741852,96.28717041,96.56304169,96.90885925,96.95121002,97.55316162,97.59558105,97.5138092,97.62960815,98.18631744,98.01846313,97.8302002,97.5272522,97.5532074,97.18244171
AUT,Austria,"Adjusted net enrollment rate, primary, female (% of primary school age children)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
