,NOC,score,gen_ave,"Adjusted net enrollment rate, primary, female (% of primary school age children",Adolescent fertility rate (Adjusted),"Fertility rate, total (Adjusted)","Labor force, female (% of total labor force)","Literacy rate, adult female (% of females ages 15 and above)","Life expectancy at birth, female (years)","Expected years of schooling, female","Primary education, pupils (% female)"
1,ARG_2000,22.54867257,58.62395,NA,93.31024,74.39,41.07891,NA,77.544,16.33546,49.0851
2,ARG_2004,8.42741935,64.78276,98.59771,93.55292,75.26,41.5752,NA,78.392,17.12874,48.97273
3,ARG_2008,10.69662921,65.05731,99.16072,93.62176,76.04,40.94063,NA,79.107,17.51383,49.01723
4,ARG_2012,19.66019417,65.22713,98.51051,93.6024,76.53,41.08632,NA,79.752,18.29912,48.80953
5,ARG_2016,5.46666667,72.99362,NA,93.69728,77.07,40.8972,NA,80.31,NA,NA
6,ARM_2012,0.14814815,70.27003,NA,97.2785,83.36,47.17197,NA,76.874,NA,46.6657
7,AUS_1992,17.26640927,74.47022,96.98586,97.9125,81.12,41.76454,NA,80.4,NA,48.6384
8,AUS_1996,139.3094463,66.78515,95.37764,98.02626,82.04,42.85267,NA,81.1,19.44697,48.65248
9,AUS_1998,0.41666667,74.86178,95.48053,98.10538,82.38,43.04843,NA,81.5,NA,48.65631
10,AUS_2000,260.2285714,75.09766,95.67675,98.20674,82.44,43.62882,NA,82,NA,48.63367
11,AUS_2002,4.31818182,75.27268,95.62742,98.3081,82.44,44.05368,NA,82.6,NA,48.60689
12,AUS_2004,165.9082569,75.52266,96.56304,98.30086,82.32,44.33498,NA,83,NA,48.61707
13,AUS_2006,0.66666667,75.51667,96.95121,98.29362,80.92,44.82556,NA,83.5,NA,48.60962
14,AUS_2008,196.6789298,75.57567,97.59558,98.33598,80.16,45.04687,NA,83.7,NA,48.61558
15,AUS_2010,8.84615385,75.74292,97.62961,98.42794,80.72,45.08701,NA,84,NA,48.59299
16,AUS_2012,133.6051661,75.94333,98.01846,98.5199,80.83,45.42269,NA,84.3,NA,48.56895
17,AUS_2014,4.19512195,76.09628,97.52725,98.59586,81.79,45.70643,NA,84.4,NA,48.55813
18,AUS_2016,151.6117647,68.63685,97.18244,98.67182,81.91,46.12704,NA,84.6,23.32659,48.64006
